arp_id,dns_id,eth_id,eth_type,icmp_id,idx,ip_id,ip_ihl,ip_len,ip_tos,ip_version,ipvsix_id,label_name,label_value,pad_id,tcp_dport,tcp_fields_options.MSS,tcp_fields_options.NOP,tcp_fields_options.SAckOK,tcp_fields_options.Timestamp,tcp_fields_options.WScale,tcp_id,tcp_seq,tcp_sport,udp_id
-1.0,-1.0,-1.0,2048,-1.0,30,-1.0,5,23465,0,4,-1.0,attack,1,-1.0,52561,-1.0,-1.0,-1.0,1656054397.0,-1.0,-1.0,128,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,31,-1.0,5,23465,0,4,-1.0,attack,1,-1.0,52561,-1.0,-1.0,-1.0,1656054397.0,-1.0,-1.0,128,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,32,-1.0,5,23551,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1656054397.0,-1.0,-1.0,65064,52561,-1.0
-1.0,-1.0,-1.0,2048,-1.0,33,-1.0,5,23551,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1656054397.0,-1.0,-1.0,65064,52561,-1.0
-1.0,-1.0,-1.0,2048,-1.0,34,-1.0,5,56290,0,4,-1.0,attack,1,-1.0,8080,65495.0,-1.0,-1.0,1656054973.0,7.0,-1.0,65072,50004,-1.0
-1.0,-1.0,-1.0,2048,-1.0,35,-1.0,5,56290,0,4,-1.0,attack,1,-1.0,8080,65495.0,-1.0,-1.0,1656054973.0,7.0,-1.0,65072,50004,-1.0
-1.0,-1.0,-1.0,2048,-1.0,36,-1.0,5,15546,0,4,-1.0,attack,1,-1.0,50004,65495.0,-1.0,-1.0,1656054973.0,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,37,-1.0,5,15546,0,4,-1.0,attack,1,-1.0,50004,65495.0,-1.0,-1.0,1656054973.0,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,38,-1.0,5,56297,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1656054973.0,-1.0,-1.0,65064,50004,-1.0
-1.0,-1.0,-1.0,2048,-1.0,39,-1.0,5,56297,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1656054973.0,-1.0,-1.0,65064,50004,-1.0
-1.0,-1.0,-1.0,2048,-1.0,40,-1.0,5,56151,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1656054973.0,-1.0,-1.0,65209,50004,-1.0
-1.0,-1.0,-1.0,2048,-1.0,41,-1.0,5,56151,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1656054973.0,-1.0,-1.0,65209,50004,-1.0
-1.0,-1.0,-1.0,2048,-1.0,42,-1.0,5,63342,0,4,-1.0,attack,1,-1.0,50004,-1.0,-1.0,-1.0,1656054973.0,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,43,-1.0,5,63342,0,4,-1.0,attack,1,-1.0,50004,-1.0,-1.0,-1.0,1656054973.0,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,44,-1.0,5,62742,0,4,-1.0,attack,1,-1.0,50004,-1.0,-1.0,-1.0,1656054974.0,-1.0,-1.0,128,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,45,-1.0,5,62742,0,4,-1.0,attack,1,-1.0,50004,-1.0,-1.0,-1.0,1656054974.0,-1.0,-1.0,128,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,46,-1.0,5,56295,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1656054974.0,-1.0,-1.0,65064,50004,-1.0
-1.0,-1.0,-1.0,2048,-1.0,47,-1.0,5,56295,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1656054974.0,-1.0,-1.0,65064,50004,-1.0
