arp_id,dns_id,eth_id,eth_type,icmp_id,idx,ip_id,ip_ihl,ip_len,ip_tos,ip_version,ipvsix_id,label_name,label_value,pad_id,tcp_dport,tcp_fields_options.MSS,tcp_fields_options.NOP,tcp_fields_options.SAckOK,tcp_fields_options.Timestamp,tcp_fields_options.WScale,tcp_id,tcp_seq,tcp_sport,udp_id
-1.0,-1.0,-1.0,2048,-1.0,26,-1.0,5,15951,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1658856256.0,-1.0,-1.0,65064,53390,-1.0
-1.0,-1.0,-1.0,2048,-1.0,27,-1.0,5,15951,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1658856256.0,-1.0,-1.0,65064,53390,-1.0
-1.0,-1.0,-1.0,2048,-1.0,28,-1.0,5,15950,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1658856256.0,-1.0,-1.0,65064,53390,-1.0
-1.0,-1.0,-1.0,2048,-1.0,29,-1.0,5,15950,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1658856256.0,-1.0,-1.0,65064,53390,-1.0
-1.0,-1.0,-1.0,2048,-1.0,30,-1.0,5,35032,0,4,-1.0,attack,1,-1.0,53390,-1.0,-1.0,-1.0,1658856258.0,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,31,-1.0,5,35032,0,4,-1.0,attack,1,-1.0,53390,-1.0,-1.0,-1.0,1658856258.0,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,32,-1.0,5,15949,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1658856258.0,-1.0,-1.0,65064,53390,-1.0
-1.0,-1.0,-1.0,2048,-1.0,33,-1.0,5,15949,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1658856258.0,-1.0,-1.0,65064,53390,-1.0
-1.0,-1.0,-1.0,2048,-1.0,34,-1.0,5,17751,0,4,-1.0,attack,1,-1.0,8080,65495.0,-1.0,-1.0,1658857724.0,7.0,-1.0,65072,37345,-1.0
-1.0,-1.0,-1.0,2048,-1.0,35,-1.0,5,17751,0,4,-1.0,attack,1,-1.0,8080,65495.0,-1.0,-1.0,1658857724.0,7.0,-1.0,65072,37345,-1.0
-1.0,-1.0,-1.0,2048,-1.0,36,-1.0,5,15546,0,4,-1.0,attack,1,-1.0,37345,65495.0,-1.0,-1.0,1658857724.0,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,37,-1.0,5,15546,0,4,-1.0,attack,1,-1.0,37345,65495.0,-1.0,-1.0,1658857724.0,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,38,-1.0,5,17758,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1658857724.0,-1.0,-1.0,65064,37345,-1.0
-1.0,-1.0,-1.0,2048,-1.0,39,-1.0,5,17758,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1658857724.0,-1.0,-1.0,65064,37345,-1.0
-1.0,-1.0,-1.0,2048,-1.0,40,-1.0,5,17634,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1658857724.0,-1.0,-1.0,65187,37345,-1.0
-1.0,-1.0,-1.0,2048,-1.0,41,-1.0,5,17634,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1658857724.0,-1.0,-1.0,65187,37345,-1.0
-1.0,-1.0,-1.0,2048,-1.0,42,-1.0,5,64296,0,4,-1.0,attack,1,-1.0,37345,-1.0,-1.0,-1.0,1658857724.0,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,43,-1.0,5,64296,0,4,-1.0,attack,1,-1.0,37345,-1.0,-1.0,-1.0,1658857724.0,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,44,-1.0,5,60302,0,4,-1.0,attack,1,-1.0,37345,-1.0,-1.0,-1.0,1658857727.0,-1.0,-1.0,3522,8080,-1.0
