arp_id,dns_id,eth_id,eth_type,icmp_id,idx,ip_id,ip_ihl,ip_len,ip_tos,ip_version,ipvsix_id,label_name,label_value,pad_id,tcp_dport,tcp_fields_options.MSS,tcp_fields_options.NOP,tcp_fields_options.SAckOK,tcp_fields_options.Timestamp,tcp_fields_options.WScale,tcp_id,tcp_seq,tcp_sport,udp_id
-1.0,-1.0,-1.0,2048,-1.0,0,-1.0,5,4078,0,4,-1.0,attack,1,-1.0,8080,65495.0,-1.0,-1.0,1653831073,7.0,-1.0,65072,48408,-1.0
-1.0,-1.0,-1.0,2048,-1.0,1,-1.0,5,4078,0,4,-1.0,attack,1,-1.0,8080,65495.0,-1.0,-1.0,1653831073,7.0,-1.0,65072,48408,-1.0
-1.0,-1.0,-1.0,2048,-1.0,2,-1.0,5,15546,0,4,-1.0,attack,1,-1.0,48408,65495.0,-1.0,-1.0,1653831073,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,3,-1.0,5,15546,0,4,-1.0,attack,1,-1.0,48408,65495.0,-1.0,-1.0,1653831073,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,4,-1.0,5,4085,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653831073,-1.0,-1.0,65064,48408,-1.0
-1.0,-1.0,-1.0,2048,-1.0,5,-1.0,5,4085,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653831073,-1.0,-1.0,65064,48408,-1.0
-1.0,-1.0,-1.0,2048,-1.0,6,-1.0,5,3939,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653831073,-1.0,-1.0,65209,48408,-1.0
-1.0,-1.0,-1.0,2048,-1.0,7,-1.0,5,3939,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653831073,-1.0,-1.0,65209,48408,-1.0
-1.0,-1.0,-1.0,2048,-1.0,8,-1.0,5,33405,0,4,-1.0,attack,1,-1.0,48408,-1.0,-1.0,-1.0,1653831073,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,9,-1.0,5,33405,0,4,-1.0,attack,1,-1.0,48408,-1.0,-1.0,-1.0,1653831073,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,10,-1.0,5,32317,0,4,-1.0,attack,1,-1.0,48408,-1.0,-1.0,-1.0,1653831074,-1.0,-1.0,616,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,11,-1.0,5,32317,0,4,-1.0,attack,1,-1.0,48408,-1.0,-1.0,-1.0,1653831074,-1.0,-1.0,616,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,12,-1.0,5,4083,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653831074,-1.0,-1.0,65064,48408,-1.0
-1.0,-1.0,-1.0,2048,-1.0,13,-1.0,5,4083,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653831074,-1.0,-1.0,65064,48408,-1.0
-1.0,-1.0,-1.0,2048,-1.0,14,-1.0,5,4082,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653831074,-1.0,-1.0,65064,48408,-1.0
-1.0,-1.0,-1.0,2048,-1.0,15,-1.0,5,4082,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653831074,-1.0,-1.0,65064,48408,-1.0
-1.0,-1.0,-1.0,2048,-1.0,16,-1.0,5,33403,0,4,-1.0,attack,1,-1.0,48408,-1.0,-1.0,-1.0,1653831075,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,17,-1.0,5,33403,0,4,-1.0,attack,1,-1.0,48408,-1.0,-1.0,-1.0,1653831075,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,18,-1.0,5,4081,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653831075,-1.0,-1.0,65064,48408,-1.0
-1.0,-1.0,-1.0,2048,-1.0,19,-1.0,5,4081,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653831075,-1.0,-1.0,65064,48408,-1.0
-1.0,-1.0,-1.0,2048,-1.0,20,-1.0,5,20225,0,4,-1.0,attack,1,-1.0,8080,65495.0,-1.0,-1.0,1653836233,7.0,-1.0,65072,48410,-1.0
-1.0,-1.0,-1.0,2048,-1.0,21,-1.0,5,20225,0,4,-1.0,attack,1,-1.0,8080,65495.0,-1.0,-1.0,1653836233,7.0,-1.0,65072,48410,-1.0
-1.0,-1.0,-1.0,2048,-1.0,22,-1.0,5,15546,0,4,-1.0,attack,1,-1.0,48410,65495.0,-1.0,-1.0,1653836233,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,23,-1.0,5,15546,0,4,-1.0,attack,1,-1.0,48410,65495.0,-1.0,-1.0,1653836233,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,24,-1.0,5,20232,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653836233,-1.0,-1.0,65064,48410,-1.0
-1.0,-1.0,-1.0,2048,-1.0,25,-1.0,5,20232,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653836233,-1.0,-1.0,65064,48410,-1.0
-1.0,-1.0,-1.0,2048,-1.0,26,-1.0,5,20086,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653836233,-1.0,-1.0,65209,48410,-1.0
-1.0,-1.0,-1.0,2048,-1.0,27,-1.0,5,20086,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653836233,-1.0,-1.0,65209,48410,-1.0
-1.0,-1.0,-1.0,2048,-1.0,28,-1.0,5,2289,0,4,-1.0,attack,1,-1.0,48410,-1.0,-1.0,-1.0,1653836233,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,29,-1.0,5,2289,0,4,-1.0,attack,1,-1.0,48410,-1.0,-1.0,-1.0,1653836233,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,30,-1.0,5,1201,0,4,-1.0,attack,1,-1.0,48410,-1.0,-1.0,-1.0,1653836234,-1.0,-1.0,616,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,31,-1.0,5,1201,0,4,-1.0,attack,1,-1.0,48410,-1.0,-1.0,-1.0,1653836234,-1.0,-1.0,616,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,32,-1.0,5,20230,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653836234,-1.0,-1.0,65064,48410,-1.0
-1.0,-1.0,-1.0,2048,-1.0,33,-1.0,5,20230,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653836234,-1.0,-1.0,65064,48410,-1.0
-1.0,-1.0,-1.0,2048,-1.0,34,-1.0,5,20229,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653836235,-1.0,-1.0,65064,48410,-1.0
-1.0,-1.0,-1.0,2048,-1.0,35,-1.0,5,20229,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653836235,-1.0,-1.0,65064,48410,-1.0
-1.0,-1.0,-1.0,2048,-1.0,36,-1.0,5,2287,0,4,-1.0,attack,1,-1.0,48410,-1.0,-1.0,-1.0,1653836235,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,37,-1.0,5,2287,0,4,-1.0,attack,1,-1.0,48410,-1.0,-1.0,-1.0,1653836235,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,-1.0,2048,-1.0,38,-1.0,5,20228,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653836235,-1.0,-1.0,65064,48410,-1.0
-1.0,-1.0,-1.0,2048,-1.0,39,-1.0,5,20228,0,4,-1.0,attack,1,-1.0,8080,-1.0,-1.0,-1.0,1653836235,-1.0,-1.0,65064,48410,-1.0
-1.0,-1.0,-1.0,2048,-1.0,40,-1.0,5,23779,0,4,-1.0,attack,1,-1.0,8080,65495.0,-1.0,-1.0,1653838672,7.0,-1.0,65072,38587,-1.0
-1.0,-1.0,-1.0,2048,-1.0,41,-1.0,5,23779,0,4,-1.0,attack,1,-1.0,8080,65495.0,-1.0,-1.0,1653838672,7.0,-1.0,65072,38587,-1.0
-1.0,-1.0,-1.0,2048,-1.0,42,-1.0,5,15546,0,4,-1.0,attack,1,-1.0,38587,65495.0,-1.0,-1.0,1653838672,7.0,-1.0,65072,8080,-1.0
