arp_id,dns_id,eth_dst,eth_id,eth_src,eth_type,icmp_id,idx,ip_dst,ip_id,ip_ihl,ip_len,ip_src,ip_tos,ip_version,ipvsix_id,label_name,label_value,pad_id,raw_hex_field_load,raw_id,raw_load,src_file,tcp_dport,tcp_fields_options.MSS,tcp_fields_options.NOP,tcp_fields_options.SAckOK,tcp_fields_options.Timestamp,tcp_fields_options.WScale,tcp_id,tcp_seq,tcp_sport,udp_id
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,0,127.0.0.1,-1.0,5,4078,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,65495.0,-1.0,-1.0,1653831073,7.0,-1.0,65072,48408,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,1,127.0.0.1,-1.0,5,4078,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,65495.0,-1.0,-1.0,1653831073,7.0,-1.0,65072,48408,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,2,127.0.0.1,-1.0,5,15546,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,48408,65495.0,-1.0,-1.0,1653831073,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,3,127.0.0.1,-1.0,5,15546,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,48408,65495.0,-1.0,-1.0,1653831073,7.0,-1.0,65072,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,4,127.0.0.1,-1.0,5,4085,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653831073,-1.0,-1.0,65064,48408,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,5,127.0.0.1,-1.0,5,4085,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,8080,-1.0,-1.0,-1.0,1653831073,-1.0,-1.0,65064,48408,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,6,127.0.0.1,-1.0,5,3939,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,474554202f20485454502f312e310d0a486f73743a203132372e302e302e313a383038300d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e31332e300d0a0d0a,-1.0,8080,-1.0,-1.0,-1.0,1653831073,-1.0,-1.0,65209,48408,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,7,127.0.0.1,-1.0,5,3939,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,474554202f20485454502f312e310d0a486f73743a203132372e302e302e313a383038300d0a436f6e6e656374696f6e3a206b6565702d616c6976650d0a4163636570742d456e636f64696e673a20677a69702c206465666c6174650d0a4163636570743a202a2f2a0d0a557365722d4167656e743a20707974686f6e2d72657175657374732f322e31332e300d0a0d0a,-1.0,8080,-1.0,-1.0,-1.0,1653831073,-1.0,-1.0,65209,48408,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,8,127.0.0.1,-1.0,5,33405,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,48408,-1.0,-1.0,-1.0,1653831073,-1.0,-1.0,65064,8080,-1.0
-1.0,-1.0,00:00:00:00:00:00,-1.0,00:00:00:00:00:00,2048,-1.0,9,127.0.0.1,-1.0,5,33405,127.0.0.1,0,4,-1.0,attack,1,-1.0,-1.0,-1.0,-1.0,-1.0,48408,-1.0,-1.0,-1.0,1653831073,-1.0,-1.0,65064,8080,-1.0
